asOfDate,2yrSwap,10yrSwap,SwapVol,Coupon
12/30/2013,0.48148,3.034222,105.5250363,3.57467
12/27/2013,0.486402,3.05622,105.7313352,3.60938
12/26/2013,0.504937,3.056522,106.355097,3.61108
12/24/2013,0.501036,3.053034,106.2527737,3.61006
12/23/2013,0.478131,2.997226,106.2333955,3.54225
12/20/2013,0.453179,2.948967,106.1383274,3.52072
12/19/2013,0.445252,2.990878,106.4505528,3.58946
12/18/2013,0.394642,2.936352,105.8697536,3.54228
12/17/2013,0.40356,2.893348,105.6567432,3.49989
12/16/2013,0.427071,2.934454,106.1442463,3.53072
12/13/2013,0.428725,2.927928,106.3131688,3.5291
12/12/2013,0.425006,2.938847,106.6612932,3.54275
12/11/2013,0.404582,2.905393,106.2971908,3.51569
12/10/2013,0.394081,2.863693,105.7933734,3.46476
12/9/2013,0.398814,2.913815,106.4647658,3.50449
12/6/2013,0.399616,2.946073,107.018246,3.53577
12/5/2013,0.391038,2.932537,107.5949453,3.55213
12/4/2013,0.387764,2.930297,107.6008712,3.53796
12/3/2013,0.384644,2.862903,106.4583696,3.48201
11/22/2013,0.379204,2.816746,103.4434927,3.37657
11/21/2013,0.374969,2.827427,103.4948713,3.39022
11/20/2013,0.379459,2.829652,103.26178,3.39539
11/18/2013,0.393402,2.73825,101.8369149,3.28922
11/15/2013,0.396057,2.775396,103.2201182,3.3275
11/14/2013,0.403661,2.789075,103.7957423,3.3344
11/13/2013,0.420884,2.837993,105.5620027,3.38633
11/12/2013,0.43717,2.887328,106.2685381,3.42394
11/8/2013,0.427392,2.869944,106.0549171,3.41853
11/7/2013,0.404132,2.740602,103.4790155,3.29153
11/5/2013,0.424578,2.803945,103.9590621,3.31201
11/4/2013,0.42248,2.743046,102.3582938,3.23876
11/1/2013,0.430336,2.761652,102.7472278,3.25928
10/31/2013,0.427297,2.68648,101.2342477,3.18036
10/30/2013,0.436138,2.67095,100.1438745,3.16114
10/29/2013,0.434203,2.652709,99.56486618,3.15432
10/28/2013,0.437283,2.660947,99.81079176,3.15932
10/25/2013,0.434889,2.651284,100.3589302,3.15212
10/24/2013,0.438442,2.670866,100.7929428,3.17723
10/23/2013,0.438264,2.634353,100.4325371,3.15417
10/22/2013,0.434176,2.656628,101.3351996,3.18366
10/21/2013,0.448788,2.748839,103.3627631,3.28095
10/18/2013,0.448814,2.731776,103.4147275,3.25857
10/17/2013,0.450004,2.726899,103.5592867,3.25461
10/16/2013,0.4712,2.806176,104.663914,3.34533
10/15/2013,0.48291,2.851739,105.4212731,3.38973
10/11/2013,0.476073,2.815096,105.0003266,3.34888
10/10/2013,0.486863,2.821092,104.9304556,3.34593
10/9/2013,0.49043,2.795287,104.6763792,3.33121
10/8/2013,0.498109,2.777009,104.1337012,3.32901
10/7/2013,0.472257,2.789479,104.3295419,3.31522
10/4/2013,0.460354,2.814359,104.7891954,3.31439
10/3/2013,0.455398,2.773221,104.272286,3.28508
10/2/2013,0.458052,2.787872,105.1878482,3.30787
10/1/2013,0.46892,2.802868,105.7484736,3.31544
9/30/2013,0.460605,2.769412,105.3475922,3.29525
9/27/2013,0.467234,2.770702,105.2741911,3.29489
9/26/2013,0.473637,2.792565,104.342518,3.32335
9/25/2013,0.469654,2.763471,103.4730383,3.29616
9/24/2013,0.478914,2.805418,104.0306286,3.34069
9/23/2013,0.477022,2.862793,104.4934888,3.4029
9/20/2013,0.489049,2.882562,105.0654763,3.43161
9/19/2013,0.487418,2.899907,105.7171136,3.42348
9/18/2013,0.488967,2.845936,105.9248625,3.40411
9/17/2013,0.538558,3.001385,108.8736789,3.5863
9/16/2013,0.560617,3.027562,109.846201,3.60503
9/13/2013,0.599881,3.063278,110.9741208,3.65073
9/12/2013,0.597424,3.067164,111.9994902,3.6663
9/11/2013,0.601976,3.080241,112.9548015,3.66718
9/10/2013,0.619764,3.121831,113.7196348,3.70256
9/9/2013,0.591332,3.070587,113.323846,3.64949
9/6/2013,0.622853,3.119449,113.3080973,3.72124
9/5/2013,0.664553,3.159365,113.7383027,3.7867
9/4/2013,0.618895,3.070774,112.7286492,3.67957
9/3/2013,0.590865,3.02841,112.1748124,3.62303
8/30/2013,0.560145,2.943118,111.0375964,3.51811
8/29/2013,0.565511,2.938896,110.2317301,3.5164
8/28/2013,0.562593,2.969264,110.4228107,3.56452
8/27/2013,0.543655,2.908118,108.82867,3.49501
8/26/2013,0.554652,2.992308,108.9742248,3.56494
8/23/2013,0.572434,3.013257,109.1254897,3.60146
8/22/2013,0.582889,3.100658,110.0781511,3.71019
8/21/2013,0.544538,3.044911,110.149376,3.67464
8/20/2013,0.531953,2.998731,108.6281086,3.63068
8/19/2013,0.549932,3.064101,109.2888234,3.71105
8/16/2013,0.534168,2.997772,108.3750133,3.63423
8/15/2013,0.527657,2.918594,107.5237676,3.54246
8/14/2013,0.509293,2.878556,106.7914496,3.48409
8/13/2013,0.513632,2.886684,106.793037,3.4866
8/12/2013,0.478952,2.777813,105.9952146,3.38388
8/9/2013,0.481052,2.747723,105.6105966,3.36395
8/8/2013,0.483128,2.760594,105.8589314,3.38149
8/7/2013,0.48748,2.779586,106.7290805,3.40953
8/6/2013,0.487275,2.824239,108.1306814,3.44309
8/5/2013,0.486523,2.813606,108.0287276,3.41781
8/2/2013,0.474984,2.774837,107.7154284,3.40357
8/1/2013,0.505775,2.90826,109.8833794,3.53287
7/31/2013,0.479575,2.7776,107.9964457,3.40954
7/30/2013,0.481538,2.794051,107.8149272,3.4286
7/29/2013,0.478865,2.777782,107.7601691,3.40615
7/26/2013,0.478396,2.758606,107.4084951,3.39532
7/25/2013,0.503135,2.805261,107.2094514,3.44079
7/24/2013,0.509759,2.784507,106.9500516,3.42968
7/23/2013,0.489999,2.716189,104.7328066,3.36391
7/22/2013,0.483931,2.696749,104.1580784,3.32208
7/19/2013,0.480925,2.697062,103.9288604,3.33139
7/18/2013,0.482909,2.736493,104.3626586,3.38885
7/17/2013,0.481008,2.695686,104.5561431,3.34387
7/16/2013,0.493213,2.745098,105.7926272,3.39147
7/15/2013,0.518353,2.770767,106.2778306,3.40503
7/12/2013,0.53109,2.825575,107.2850911,3.47482
7/11/2013,0.50587,2.790458,106.7598277,3.46797
7/10/2013,0.541466,2.891533,108.4625446,3.58537
7/9/2013,0.539765,2.855778,107.9366476,3.48802
7/8/2013,0.53926,2.8926,108.7013726,3.54464
7/5/2013,0.584332,2.961773,109.8882839,3.67325
7/3/2013,0.546238,2.728963,106.0639028,3.36892
7/2/2013,0.521334,2.691787,105.087523,3.31182
7/1/2013,0.513938,2.698993,105.2522802,3.29795
6/28/2013,0.512886,2.688226,105.7965427,3.30945
6/27/2013,0.512908,2.675681,104.5801064,3.32066
6/26/2013,0.54738,2.754026,107.8215258,3.44275
6/25/2013,0.576994,2.811938,108.5741067,3.49791
6/24/2013,0.579756,2.772742,108.6281357,3.48428
6/21/2013,0.562248,2.742672,106.8776837,3.42906
6/20/2013,0.508825,2.647199,106.1529343,3.27319
6/19/2013,0.463255,2.518094,102.8832541,3.12738
6/18/2013,0.419147,2.364265,100.0014881,2.98213
6/17/2013,0.423494,2.347659,99.87834151,2.98385
6/14/2013,0.430919,2.299817,98.98745914,2.93282
6/13/2013,0.472072,2.35504,100.394685,2.97052
6/12/2013,0.500539,2.421999,102.1269137,3.0173
6/11/2013,0.497631,2.391815,102.7408695,2.98862
6/10/2013,0.498095,2.419325,102.9392451,3.01875
6/7/2013,0.478971,2.354266,101.9633255,2.99312
6/6/2013,0.458557,2.265819,100.7189228,2.93639
6/5/2013,0.45949,2.291419,101.1927859,2.97372
6/4/2013,0.46402,2.331582,101.2576583,2.98974
6/3/2013,0.462498,2.314341,99.62236088,2.96032
5/31/2013,0.47287,2.337146,97.88555913,2.95731
5/30/2013,0.461184,2.288553,96.50392355,2.90465
5/29/2013,0.468273,2.286744,95.57096801,2.91969
5/28/2013,0.452357,2.296283,93.91079724,2.94396
5/24/2013,0.40428,2.156178,90.88714732,2.81497
5/23/2013,0.397175,2.157011,90.74980616,2.82191
5/22/2013,0.393263,2.155469,90.19679702,2.78844
5/21/2013,0.3869,2.066728,89.09081785,2.66453
5/20/2013,0.38743,2.093655,89.35324156,2.71288
5/17/2013,0.388592,2.086616,89.2927025,2.68581
5/16/2013,0.370546,1.992793,88.53461397,2.56388
5/15/2013,0.381543,2.076703,88.46265077,2.66187
5/14/2013,0.381846,2.09637,88.43316409,2.66272
5/13/2013,0.378955,2.064888,88.08516599,2.621
5/10/2013,0.369143,2.040666,87.64039543,2.58686
5/9/2013,0.358085,1.957613,87.26108625,2.49665
5/8/2013,0.359271,1.94295,87.67797305,2.47245
5/7/2013,0.363104,1.961252,87.70121666,2.48894
5/6/2013,0.358237,1.951935,87.67708925,2.4724
5/3/2013,0.354378,1.918308,87.57165004,2.45615
5/2/2013,0.342067,1.812554,86.70263563,2.3421
5/1/2013,0.345132,1.820106,86.48204562,2.31036
4/30/2013,0.351117,1.849423,86.59287796,2.35354
4/29/2013,0.350482,1.838176,86.45243671,2.37448
4/26/2013,0.358632,1.844556,86.44262022,2.37951
4/25/2013,0.360785,1.883098,86.85637967,2.43235
4/24/2013,0.361715,1.870629,86.98706185,2.43239
4/23/2013,0.364446,1.881772,86.96218836,2.43753
4/22/2013,0.36153,1.870494,87.14039174,2.4461
4/19/2013,0.370559,1.8692,87.28690625,2.44783
4/18/2013,0.369355,1.847449,86.59880384,2.43192
4/17/2013,0.368654,1.869943,86.86087389,2.45005
4/16/2013,0.369025,1.89075,86.97240353,2.45465
4/15/2013,0.366105,1.87195,86.67536327,2.43066
4/12/2013,0.371723,1.899169,86.98941,2.45324
4/11/2013,0.374023,1.959092,87.40365172,2.51808
4/10/2013,0.379431,1.973411,88.1591502,2.54479
4/9/2013,0.37767,1.922672,87.72115321,2.48938
4/8/2013,0.377043,1.918201,87.88646136,2.47695
4/5/2013,0.372277,1.861699,87.40130751,2.41738
4/4/2013,0.383918,1.924906,88.23329268,2.48587
4/3/2013,0.394238,1.971866,88.70037768,2.56472
4/2/2013,0.409698,2.015685,89.64798183,2.6102
4/1/2013,0.412798,1.996011,89.50847246,2.59513
3/28/2013,0.423009,2.020531,89.80841688,2.61433
3/27/2013,0.428402,2.008058,89.92183971,2.60807
3/26/2013,0.430398,2.060394,90.40354991,2.64256
3/25/2013,0.428025,2.049585,90.78457002,2.63948
3/22/2013,0.429128,2.044875,91.63849229,2.64148
3/21/2013,0.422404,2.053279,92.00741462,2.67627
3/20/2013,0.414034,2.049738,91.87571507,2.64698
3/19/2013,0.422654,2.018802,91.82291719,2.60686
3/18/2013,0.39197,2.056136,92.26642784,2.62963
3/15/2013,0.389972,2.087059,91.69276721,2.66434
3/14/2013,0.40084,2.122616,92.03184877,2.70546
3/13/2013,0.394684,2.102126,91.42505514,2.70044
3/12/2013,0.395279,2.106616,91.1194422,2.70646
3/11/2013,0.39886,2.139228,91.26517489,2.73998
3/8/2013,0.398407,2.13834,91.45358112,2.75192
3/7/2013,0.393129,2.073743,90.9882663,2.67331
3/6/2013,0.381629,2.018488,90.35153506,2.61255
3/5/2013,0.379316,1.973651,90.12036239,2.56076
3/4/2013,0.375977,1.961486,90.26336099,2.54578
3/1/2013,0.377626,1.945717,90.95049941,2.52993
2/28/2013,0.385851,1.977641,90.99126141,2.54484
2/27/2013,0.392856,1.991554,90.80440649,2.57322
2/26/2013,0.392395,1.965518,90.30249622,2.53896
2/25/2013,0.389236,1.974743,90.29081934,2.55786
2/22/2013,0.396713,2.037965,90.42584868,2.62514
2/21/2013,0.403443,2.0462,90.53423331,2.62574
2/20/2013,0.419243,2.092475,90.11551629,2.63797
2/19/2013,0.419404,2.095254,90.17855664,2.63802
2/15/2013,0.418861,2.068348,90.10017937,2.62079
2/14/2013,0.415953,2.060714,90.21492944,2.60855
2/13/2013,0.427397,2.105726,90.99528471,2.65372
2/12/2013,0.4195,2.068438,90.41733228,2.60701
2/11/2013,0.412048,2.028325,90.21567414,2.56531
2/8/2013,0.406151,2.03256,90.54080642,2.57318
2/7/2013,0.405964,2.027704,90.59013466,2.55136
2/6/2013,0.411246,2.04237,90.1280339,2.55943
2/5/2013,0.429249,2.09502,90.33174182,2.60052
2/4/2013,0.42072,2.059259,88.31297873,2.55563
2/1/2013,0.423508,2.093164,89.4634134,2.59141
1/31/2013,0.431219,2.055601,89.02098687,2.57377
1/30/2013,0.431714,2.077225,89.5098913,2.57729
1/29/2013,0.442237,2.048819,89.22586694,2.55981
1/28/2013,0.445931,2.033106,88.60778354,2.53933
1/25/2013,0.429973,2.004183,87.41376684,2.50532
1/24/2013,0.392924,1.894281,85.3476888,2.36742
1/23/2013,0.389196,1.883302,84.73932974,2.34331
1/22/2013,0.393392,1.885761,84.16057183,2.35221
1/18/2013,0.398631,1.894059,84.17518656,2.35028
1/17/2013,0.404405,1.913672,84.34212801,2.36891
1/16/2013,0.373823,1.857361,83.08517178,2.29441
1/15/2013,0.37199,1.860082,83.02219002,2.29384
1/14/2013,0.378623,1.883561,83.89095851,2.2784
1/11/2013,0.383617,1.903994,84.22884634,2.31308
1/10/2013,0.380653,1.917067,84.39539348,2.32919
1/9/2013,0.374762,1.87765,83.77855915,2.29263
1/8/2013,0.386078,1.892647,83.98371882,2.31701
1/7/2013,0.394001,1.928726,84.06244189,2.34263
1/4/2013,0.400307,1.939275,84.5290302,2.38072
1/3/2013,0.390477,1.927184,84.53346297,2.36511
1/2/2013,0.384969,1.876252,84.68597922,2.26242
12/31/2012,0.384955,1.797312,84.15883512,2.20009
12/28/2012,0.393176,1.76649,82.75954333,2.18544
12/27/2012,0.404156,1.778338,83.18910867,2.1768
12/26/2012,0.408742,1.816595,83.38301059,2.19828
12/24/2012,0.408923,1.827993,83.58874235,2.21511
12/21/2012,0.397928,1.803196,83.34336248,2.18757
12/20/2012,0.399786,1.843098,83.64041512,2.22135
12/19/2012,0.398418,1.842482,84.81510376,2.23717
12/18/2012,0.390965,1.875069,86.01065295,2.27802
12/17/2012,0.371594,1.814056,84.8551236,2.2148
12/14/2012,0.359706,1.756585,83.96408546,2.17471
12/13/2012,0.360765,1.767593,83.81269562,2.17954
12/12/2012,0.354158,1.740826,83.23134421,2.16985
12/11/2012,0.354055,1.694474,82.06317454,2.1257
12/10/2012,0.354684,1.668435,81.77309803,2.12632
12/7/2012,0.352475,1.676668,81.99981676,2.16633
12/6/2012,0.358134,1.63698,81.51900923,2.10827
12/5/2012,0.361975,1.640459,81.51197074,2.07994
12/4/2012,0.367043,1.657397,81.51479201,2.06783
12/3/2012,0.371188,1.670409,81.83556722,2.08622
11/30/2012,0.370351,1.656343,82.17215913,2.07253
11/29/2012,0.376223,1.661168,82.11578839,2.07244
11/28/2012,0.379133,1.653546,82.23183535,2.05097
11/27/2012,0.389988,1.675386,82.72696186,2.04405
11/26/2012,0.399419,1.703314,83.59535982,2.1329
11/23/2012,0.398292,1.727482,84.15859689,2.20126
11/21/2012,0.391023,1.721595,84.30202143,2.19254
11/20/2012,0.376783,1.691797,84.30545654,2.14204
