asOfDate,2yrSwap,10yrSwap,3y7y_ATM,Coupon,4y7y_ATM,5y7y_ATM,3y7y_ATM,5y10y_ATM
12/31/2014,0.898167,2.285322,91.16847492,2.83387,91.28924816,91.09663299,91.16847492,87.84007775
12/30/2014,0.899713,2.301741,91.25590065,2.852,91.35669384,91.09922026,91.25590065,87.81705544
12/29/2014,0.904637,2.3199,91.54157166,2.86098,91.59111769,91.31164459,91.54157166,88.11034949
12/26/2014,0.926007,2.362824,92.05104142,2.89124,92.02259196,91.75443274,92.05104142,88.25851053
12/24/2014,0.926005,2.384509,92.05271335,2.90975,92.03297094,91.80888656,92.05271335,88.43982589
12/23/2014,0.920793,2.383736,92.26921698,2.91032,92.3066949,92.23011583,92.26921698,88.96369014
12/22/2014,0.895098,2.290009,92.66934576,2.82564,92.77407987,92.72454293,92.66934576,89.18504403
12/19/2014,0.874882,2.306832,92.92863191,2.83374,92.9132654,92.81964572,92.92863191,89.38259298
12/18/2014,0.847904,2.328759,93.673743,2.85823,93.66545635,93.50377117,93.673743,89.89937276
12/17/2014,0.822062,2.271125,93.30474643,2.83715,93.46818346,93.37546781,93.30474643,89.41496934
12/16/2014,0.791909,2.195239,93.95951857,2.78725,94.00822877,93.94444463,93.95951857,90.33226452
12/15/2014,0.828293,2.242994,92.97539064,2.82917,92.84546328,92.6940101,92.97539064,89.2240595
12/12/2014,0.789554,2.226352,92.6612003,2.80058,92.5633478,92.3505975,92.6612003,88.85427291
12/11/2014,0.838454,2.298793,91.46422659,2.86343,91.4509786,91.31849948,91.46422659,87.817104
12/10/2014,0.808231,2.283806,90.48331682,2.85151,90.6625231,90.72710064,90.48331682,87.24794907
12/9/2014,0.844475,2.337465,90.43495871,2.88602,90.50891414,90.47042274,90.43495871,86.80394072
12/8/2014,0.857841,2.375977,90.62702222,2.90876,90.61633,90.51120029,90.62702222,86.82218025
12/5/2014,0.851565,2.419014,90.97713935,2.95463,90.96069094,90.80074987,90.97713935,87.10195356
12/4/2014,0.753169,2.375218,90.6357695,2.90251,90.77050762,90.74346257,90.6357695,87.03514539
12/3/2014,0.76646,2.414231,91.3052114,2.93232,91.332951,91.17072842,91.3052114,87.43999693
12/2/2014,0.74166,2.413726,91.67986253,2.92504,91.68361969,91.55513516,91.67986253,87.97417941
12/1/2014,0.703568,2.349293,91.51983253,2.86228,91.55437344,91.37502528,91.51983253,87.89062832
11/28/2014,0.697356,2.324514,91.032908,2.84569,91.07664458,90.87887806,91.032908,87.39934509
11/26/2014,0.712768,2.362633,91.42152963,2.8841,91.394454,91.12705655,91.42152963,87.50947068
11/25/2014,0.713249,2.388036,91.48045487,2.89872,91.39382962,91.03005371,91.48045487,87.35619417
11/24/2014,0.72564,2.429143,91.42237963,2.95338,91.25660478,90.83808523,91.42237963,87.13918609
11/21/2014,0.721834,2.433936,91.37377595,2.96503,91.20854434,90.79644714,91.37377595,87.14782177
11/20/2014,0.725164,2.45436,91.5891056,2.98245,91.36049634,90.9334755,91.5891056,87.36277522
11/19/2014,0.734313,2.468063,91.45490613,3.00395,91.16977647,90.70637423,91.45490613,87.40878592
11/18/2014,0.721521,2.443213,90.85427878,2.98226,90.48288804,89.9758634,90.85427878,86.9742889
11/17/2014,0.724202,2.463391,90.79673904,2.9941,90.44635408,89.96293786,90.79673904,87.05972385
11/14/2014,0.731432,2.444652,90.17391802,2.98831,90.10035694,89.85147075,90.17391802,86.93760236
11/13/2014,0.738358,2.466185,89.99002022,3.02409,89.9228323,89.80619259,89.99002022,86.76807157
11/12/2014,0.751287,2.487578,90.58290808,3.03648,90.47147309,90.26888493,90.58290808,87.30200246
11/10/2014,0.751584,2.493582,90.9360074,3.03634,90.77420564,90.52435047,90.9360074,87.5613589
11/7/2014,0.726336,2.449121,90.87958475,3.00136,90.74562967,90.47025613,90.87958475,87.39300261
11/6/2014,0.760125,2.5168,91.50929475,3.05201,91.47184218,91.30598748,91.50929475,88.52806889
11/5/2014,0.738428,2.496124,91.53934639,3.04445,91.51691423,91.3323699,91.53934639,88.34586768
11/4/2014,0.728147,2.48345,91.73078861,3.04424,91.63396452,91.40600885,91.73078861,88.50197161
11/3/2014,0.725683,2.488842,91.85074381,3.04728,91.64071077,91.35981488,91.85074381,88.52814272
10/31/2014,0.711267,2.477712,92.2276765,3.00974,92.28710392,92.15948347,92.2276765,88.96421216
10/30/2014,0.695176,2.448427,92.36778748,2.98841,92.41398065,92.17253354,92.36778748,88.98677338
10/29/2014,0.706146,2.462024,92.67996175,3.0091,92.93674064,92.9019942,92.67996175,89.86150173
10/28/2014,0.649404,2.425569,94.60134138,2.97326,94.6147109,94.33258752,94.60134138,91.65789397
10/27/2014,0.646204,2.404196,95.06767433,2.95063,95.02067207,94.68619088,95.06767433,91.8171952
10/24/2014,0.654967,2.417941,95.74843236,2.96706,95.43193837,94.87616569,95.74843236,91.9721885
10/23/2014,0.653338,2.417296,95.86456437,2.95697,95.42569896,94.61462229,95.86456437,92.05517541
10/22/2014,0.627016,2.362999,95.26728211,2.91561,94.93424499,94.18467082,95.26728211,91.43601328
10/21/2014,0.616166,2.344805,95.05768382,2.90261,94.79234329,94.14087056,95.05768382,91.05655437
10/20/2014,0.618953,2.322683,93.63983902,2.88228,93.75838229,93.497263,93.63983902,90.23159639
10/17/2014,0.640917,2.353076,94.01917578,2.90897,93.73234325,93.07448639,94.01917578,90.16410302
10/16/2014,0.620131,2.315537,96.02013307,2.88998,95.69839231,95.00767024,96.02013307,92.08669425
10/15/2014,0.585259,2.247947,97.42775272,2.80128,96.78343534,95.98246529,97.42775272,93.41039246
10/14/2014,0.655723,2.345843,93.13194065,2.91567,93.22591647,92.98817164,93.13194065,90.15318377
10/10/2014,0.715402,2.43996,92.25825249,3.00647,92.46381795,92.33619471,92.25825249,89.55583021
10/9/2014,0.72761,2.469152,91.99925532,3.00935,92.24953196,92.16437696,91.99925532,89.15191423
10/8/2014,0.720173,2.472726,91.76814287,3.00696,92.10981202,92.03799191,91.76814287,89.06611022
10/7/2014,0.782115,2.510836,92.08650787,3.05717,92.27253218,92.18344069,92.08650787,89.02575755
10/6/2014,0.814036,2.580708,91.81568981,3.12298,92.01969636,91.94819571,91.81568981,88.87714125
10/3/2014,0.831603,2.599266,92.01967205,3.1408,92.15353397,92.01145208,92.01967205,88.94031564
10/2/2014,0.805959,2.584236,92.23607933,3.1361,92.37199167,92.22779481,92.23607933,89.12579845
10/1/2014,0.798399,2.554658,91.66136131,3.11879,91.54657295,91.21218545,91.66136131,88.1532469
9/30/2014,0.836999,2.652476,91.73880175,3.2079,91.4330854,90.98325708,91.73880175,88.01186405
9/29/2014,0.830505,2.638302,91.48258568,3.19268,91.26815298,90.87646403,91.48258568,87.87296404
9/26/2014,0.823917,2.662371,91.01291479,3.21517,90.74793111,90.32839867,91.01291479,87.31341988
9/25/2014,0.790717,2.64294,90.31433533,3.19667,89.94668636,89.44331029,90.31433533,86.65935923
9/24/2014,0.808068,2.695683,90.0055679,3.2402,89.67432555,89.17251202,90.0055679,86.47970033
9/23/2014,0.790185,2.654879,89.77424485,3.21471,89.55571333,89.17558916,89.77424485,86.43292734
9/22/2014,0.797476,2.686462,89.77031208,3.23976,89.53789764,89.13296716,89.77031208,86.4449658
9/19/2014,0.813257,2.721218,90.17556984,3.2565,90.11369403,89.85232732,90.17556984,87.42418251
9/18/2014,0.813759,2.766456,90.51305245,3.30017,90.33559025,89.99756609,90.51305245,87.65028418
9/17/2014,0.795868,2.739749,90.43603722,3.28895,90.27034335,89.83873825,90.43603722,87.66782238
9/16/2014,0.776857,2.731292,90.17614113,3.28408,90.03947225,89.66737175,90.17614113,87.46674243
9/15/2014,0.791045,2.730559,90.2879081,3.28134,89.99748776,89.51587703,90.2879081,87.12067339
9/12/2014,0.798255,2.745827,90.2570946,3.30131,89.97172008,89.4789918,90.2570946,87.07912133
9/11/2014,0.795683,2.66465,90.42268208,3.23854,90.74149767,90.78551608,90.42268208,88.3854541
9/10/2014,0.788188,2.668223,90.81808308,3.23967,91.53989869,91.97045696,90.81808308,89.1805815
9/9/2014,0.776156,2.625674,90.70408692,3.20426,91.55763836,92.16359255,90.70408692,89.62625657
9/8/2014,0.750903,2.592935,90.6002386,3.17608,91.51036545,92.12469393,90.6002386,89.68828119
