asOfDate,RealCoupon,ModelCoupon,RealMortgageRate,RealServiceSpread,Weekday,Weight,Counter,accumulated Weighted CC,accumulatedWeight,WA CC,Servicing Spread,,,
3/31/2008,5.26202,4.894356256,5.755,0.49298,1,0.05,3,0.263101,0.05,0,0,,,
4/1/2008,5.36824,4.959161621,5.755,0.38676,2,0.7,4,4.020869,0.75,0,0,,,
4/2/2008,5.43194,5.012245674,5.755,0.32306,3,0.25,5,5.378854,1,5.378854,0,,,
4/3/2008,5.37571,5.025963723,5.73,0.35429,4,0,1,0,0,0,0.376146,,,
4/4/2008,5.16736,4.899665221,5.73,0.56264,5,0,2,0,0,0,0,,,
4/7/2008,5.23363,4.973848319,5.73,0.49637,1,0.05,3,0.2616815,0.05,0,0,,,
4/8/2008,5.28216,4.962750394,5.73,0.44784,2,0.7,4,3.9591935,0.75,0,0,,,
4/9/2008,5.19316,4.876971318,5.73,0.53684,3,0.25,5,5.2574835,1,0,0,,,
4/10/2008,5.2699,4.960759314,5.73,0.4601,4,0,6,0,0,0,0,,,
4/11/2008,5.2083,4.928546125,5.73,0.5217,5,0,7,0,0,0,0,,,
4/14/2008,5.2727,4.973576659,5.73,0.4573,1,0.05,8,0.263635,0.05,0,0,,,
4/15/2008,5.38224,5.068190235,5.73,0.34776,2,0.7,9,3.767568,0.7,0,0,,,
4/16/2008,5.54358,5.260716742,5.73,0.18642,3,0.25,10,1.385895,0.25,5.54358,0,,,
4/17/2008,5.57791,5.304448325,5.855,0.27709,4,0,1,0,0,0,0.18642,,,
4/18/2008,5.48385,5.25592993,5.855,0.37115,5,0,2,0,0,0,0,,,
4/21/2008,5.42507,5.209625258,5.855,0.42993,1,0.05,3,0.2712535,0.05,0,0,,,
4/22/2008,5.38548,5.212501202,5.855,0.46952,2,0.7,4,4.0410895,0.75,0,0,,,
4/23/2008,5.4325,5.218365131,5.855,0.4225,3,0.25,5,5.3992145,1,5.3992145,0,,,
4/24/2008,5.51979,5.344670481,5.935,0.41521,4,0,1,0,0,0,0.4557855,,,
4/25/2008,5.5306,5.360920185,5.935,0.4044,5,0,2,0,0,0,0,,,
4/28/2008,5.49081,5.311209513,5.935,0.44419,1,0.05,3,0.2745405,0.05,0,0,,,
4/29/2008,5.47144,5.284025111,5.935,0.46356,2,0.7,4,4.1045485,0.75,0,0,,,
4/30/2008,5.40219,5.189175909,5.935,0.53281,3,0.25,5,5.455096,1,5.455096,0,,,
5/1/2008,5.34362,5.146900434,5.875,0.53138,4,0,1,0,0,0,0.479904,,,
5/2/2008,5.38863,5.187110622,5.875,0.48637,5,0,2,0,0,0,0,,,
5/5/2008,5.4155,5.189927293,5.875,0.4595,1,0.05,3,0.270775,0.05,0,0,,,
5/6/2008,5.43589,5.23507703,5.875,0.43911,2,0.7,4,4.075898,0.75,0,0,,,
5/7/2008,5.39367,5.203814375,5.875,0.48133,3,0.25,5,5.4243155,1,5.4243155,0,,,
5/8/2008,5.32256,5.158639073,5.91,0.58744,4,0,1,0,0,0,0.4506845,,,
5/9/2008,5.35232,5.163656748,5.91,0.55768,5,0,2,0,0,0,0,,,
5/12/2008,5.40558,5.183242738,5.91,0.50442,1,0.05,3,0.270279,0.05,0,0,,,
5/13/2008,5.54224,5.361989608,5.91,0.36776,2,0.7,4,4.149847,0.75,0,0,,,
5/14/2008,5.55211,5.383670603,5.91,0.35789,3,0.25,5,5.5378745,1,5.5378745,0,,,
5/15/2008,5.40203,5.237505651,5.855,0.45297,4,0,1,0,0,0,0.3721255,,,
5/16/2008,5.39561,5.220035066,5.855,0.45939,5,0,2,0,0,0,0,,,
5/19/2008,5.35742,5.15980167,5.855,0.49758,1,0.05,3,0.267871,0.05,0,0,,,
5/20/2008,5.30407,5.114630042,5.855,0.55093,2,0.7,4,3.98072,0.75,0,0,,,
5/21/2008,5.35903,5.157771779,5.855,0.49597,3,0.25,5,5.3204775,1,5.3204775,0,,,
5/22/2008,5.4751,5.28572652,5.98,0.5049,4,0,1,0,0,0,0.5345225,,,
5/23/2008,5.40601,5.207289165,5.98,0.57399,5,0,2,0,0,0,0,,,
5/27/2008,5.51062,5.311535399,5.98,0.46938,2,0.7,3,3.857434,0.7,0,0,,,
5/28/2008,5.635,5.396651373,5.98,0.345,3,0.25,4,5.266184,0.95,5.543351579,0,,,
5/29/2008,5.71441,5.481003931,5.99,0.27559,4,0,1,0,0,0,0.436648421,,,
5/30/2008,5.67041,5.432080917,5.99,0.31959,5,0,2,0,0,0,0,,,
6/2/2008,5.60869,5.368135677,5.99,0.38131,1,0.05,3,0.2804345,0.05,0,0,,,
6/3/2008,5.55953,5.303074556,5.99,0.43047,2,0.7,4,4.1721055,0.75,0,0,,,
6/4/2008,5.66156,5.357201903,5.99,0.32844,3,0.25,5,5.5874955,1,5.5874955,0,,,
6/5/2008,5.76712,5.488838307,6.245,0.47788,4,0,1,0,0,0,0.4025045,,,
6/6/2008,5.72572,5.490981028,6.245,0.51928,5,0,2,0,0,0,0,,,
6/9/2008,5.81817,5.645793423,6.245,0.42683,1,0.05,3,0.2909085,0.05,0,0,,,
6/10/2008,5.96254,5.74359338,6.245,0.28246,2,0.7,4,4.4646865,0.75,0,0,,,
6/11/2008,5.88874,5.634385963,6.245,0.35626,3,0.25,5,5.9368715,1,5.9368715,0,,,
6/12/2008,6.01778,5.762223827,6.345,0.32722,4,0,1,0,0,0,0.3081285,,,
6/13/2008,6.05793,5.819292806,6.345,0.28707,5,0,2,0,0,0,0,,,
6/16/2008,6.08137,5.800560813,6.345,0.26363,1,0.05,3,0.3040685,0.05,0,0,,,
6/17/2008,6.00955,5.728641459,6.345,0.33545,2,0.7,4,4.5107535,0.75,0,0,,,
6/18/2008,5.90615,5.619199417,6.345,0.43885,3,0.25,5,5.987291,1,5.987291,0,,,
6/19/2008,5.94374,5.660026365,6.35,0.40626,4,0,1,0,0,0,0.357709,,,
6/20/2008,5.92151,5.648872921,6.35,0.42849,5,0,2,0,0,0,0,,,
6/23/2008,5.98819,5.712324972,6.35,0.36181,1,0.05,3,0.2994095,0.05,0,0,,,
6/24/2008,5.9575,5.663410855,6.35,0.3925,2,0.7,4,4.4696595,0.75,0,0,,,
6/25/2008,5.95788,5.656822224,6.35,0.39212,3,0.25,5,5.9591295,1,5.9591295,0,,,
6/26/2008,5.90352,5.605360176,6.25,0.34648,4,0,1,0,0,0,0.3908705,,,
6/27/2008,5.84366,5.575026786,6.25,0.40634,5,0,2,0,0,0,0,,,
6/30/2008,5.82023,5.543970573,6.25,0.42977,1,0.05,3,0.2910115,0.05,0,0,,,
7/1/2008,5.87926,5.57308781,6.25,0.37074,2,0.7,4,4.4064935,0.75,0,0,,,
7/2/2008,5.90336,5.548407871,6.25,0.34664,3,0.25,5,5.8823335,1,5.8823335,0,,,
7/3/2008,5.94638,5.556188369,6.27,0.32362,4,0,1,0,0,0,0.3676665,,,
7/7/2008,5.951,5.518602034,6.27,0.319,1,0.05,2,0.29755,0.05,0,0,,,
7/8/2008,5.81904,5.448277212,6.27,0.45096,2,0.7,3,4.370878,0.75,0,0,,,
7/9/2008,5.71617,5.359790784,6.27,0.55383,3,0.25,4,5.7999205,1,5.7999205,0,,,
7/10/2008,5.7032,5.365950491,6.16,0.4568,4,0,1,0,0,0,0.4700795,,,
7/11/2008,5.78406,5.482995932,6.16,0.37594,5,0,2,0,0,0,0,,,
7/14/2008,5.7262,5.431350904,6.16,0.4338,1,0.05,3,0.28631,0.05,0,0,,,
7/15/2008,5.69922,5.37385688,6.16,0.46078,2,0.7,4,4.275764,0.75,0,0,,,
7/16/2008,5.84484,5.427607613,6.16,0.31516,3,0.25,5,5.736974,1,5.736974,0,,,
7/17/2008,6.03498,5.594340443,6.53,0.49502,4,0,1,0,0,0,0.423026,,,
7/18/2008,6.13689,5.64768718,6.53,0.39311,5,0,2,0,0,0,0,,,
7/21/2008,6.11861,5.617516286,6.53,0.41139,1,0.05,3,0.3059305,0.05,0,0,,,
7/22/2008,6.15327,5.613544703,6.53,0.37673,2,0.7,4,4.6132195,0.75,0,0,,,
7/23/2008,6.12548,5.643450272,6.53,0.40452,3,0.25,5,6.1445895,1,6.1445895,0,,,
7/24/2008,5.96688,5.501787832,6.445,0.47812,4,0,1,0,0,0,0.3854105,,,
7/25/2008,6.09366,5.567812677,6.445,0.35134,5,0,2,0,0,0,0,,,
7/28/2008,5.97205,5.473974672,6.445,0.47295,1,0.05,3,0.2986025,0.05,0,0,,,
7/29/2008,6.02543,5.503222303,6.445,0.41957,2,0.7,4,4.5164035,0.75,0,0,,,
7/30/2008,5.98257,5.462927367,6.445,0.46243,3,0.25,5,6.012046,1,0,0,,,
7/31/2008,5.9366,5.408562501,6.445,0.5084,4,0,6,0,0,0,0,,,
8/1/2008,5.94304,5.389275208,6.445,0.50196,5,0,7,0,0,0,0,,,
8/4/2008,6.01006,5.434847646,6.445,0.43494,1,0.05,8,0.300503,0.05,0,0,,,
8/5/2008,6.04893,5.441155349,6.445,0.39607,2,0.7,9,4.234251,0.7,0,0,,,
8/6/2008,6.12899,5.489033211,6.445,0.31601,3,0.25,10,1.5322475,0.25,0,0,,,
8/7/2008,6.05188,5.391588626,6.445,0.39312,4,0,11,0,0,0,0,,,
8/8/2008,6.00624,5.399520896,6.445,0.43876,5,0,12,0,0,0,0,,,
8/11/2008,6.08798,5.435249688,6.445,0.35702,1,0.05,13,0.304399,0.05,0,0,,,
8/12/2008,6.02876,5.351831028,6.445,0.41624,2,0.7,14,4.220132,0.7,0,0,,,
8/13/2008,6.05706,5.387294011,6.445,0.38794,3,0.25,15,1.514265,0.25,6.05706,0,,,
8/14/2008,6.03352,5.34905849,6.395,0.36148,4,0,1,0,0,0,0.38794,,,
8/15/2008,5.96405,5.338477869,6.395,0.43095,5,0,2,0,0,0,0,,,
8/18/2008,5.95599,5.334665684,6.395,0.43901,1,0.05,3,0.2977995,0.05,0,0,,,
8/19/2008,5.95402,5.34401657,6.395,0.44098,2,0.7,4,4.4656135,0.75,0,0,,,
8/20/2008,5.80583,5.296557363,6.395,0.58917,3,0.25,5,5.917071,1,5.917071,0,,,
8/21/2008,5.9001,5.34108229,6.3,0.3999,4,0,1,0,0,0,0.477929,,,
8/22/2008,5.93749,5.385642401,6.3,0.36251,5,0,2,0,0,0,0,,,
8/25/2008,5.87194,5.343101485,6.3,0.42806,1,0.05,3,0.293597,0.05,0,0,,,
8/26/2008,5.83232,5.318918749,6.3,0.46768,2,0.7,4,4.376221,0.75,0,0,,,
8/27/2008,5.8015,5.279360334,6.3,0.4985,3,0.25,5,5.826596,1,5.826596,0,,,
8/28/2008,5.76723,5.292351083,6.275,0.50777,4,0,1,0,0,0,0.473404,,,
8/29/2008,5.79853,5.289948348,6.275,0.47647,5,0,2,0,0,0,0,,,
9/2/2008,5.76158,5.243149642,6.275,0.51342,2,0.7,3,4.033106,0.7,0,0,,,
9/3/2008,5.70324,5.208244241,6.275,0.57176,3,0.25,4,5.458916,0.95,5.746227368,0,,,
9/4/2008,5.60593,5.172968507,5.855,0.24907,4,0,1,0,0,0,0.528772632,,,
9/5/2008,5.64419,5.188947848,5.855,0.21081,5,0,2,0,0,0,0,,,
9/8/2008,5.11343,5.112866508,5.855,0.74157,1,0.05,3,0.2556715,0.05,0,0,,,
9/9/2008,5.14552,5.078663148,5.855,0.70948,2,0.7,4,3.8575355,0.75,0,0,,,
9/10/2008,5.20774,5.099007522,5.855,0.64726,3,0.25,5,5.1594705,1,5.1594705,0,,,
9/11/2008,5.20018,5.066554155,5.68,0.47982,4,0,1,0,0,0,0.6955295,,,
9/12/2008,5.3042,5.161734697,5.68,0.3758,5,0,2,0,0,0,0,,,
9/15/2008,5.01762,4.985890245,5.68,0.66238,1,0.05,3,0.250881,0.05,0,0,,,
9/16/2008,5.19951,5.125713613,5.68,0.48049,2,0.7,4,3.890538,0.75,0,0,,,
9/17/2008,5.21897,5.075048902,5.68,0.46103,3,0.25,5,5.1952805,1,5.1952805,0,,,
9/18/2008,5.24059,5.10778509,6.015,0.77441,4,0,1,0,0,0,0.4847195,,,
9/19/2008,5.29412,5.339186459,6.015,0.72088,5,0,2,0,0,0,0,,,
9/22/2008,5.43345,5.355480123,6.015,0.58155,1,0.05,3,0.2716725,0.05,0,0,,,
9/23/2008,5.46543,5.415070769,6.015,0.54957,2,0.7,4,4.0974735,0.75,0,0,,,
9/24/2008,5.46486,5.503402029,6.015,0.55014,3,0.25,5,5.4636885,1,5.4636885,0,,,
9/25/2008,5.4753,5.537102137,6,0.5247,4,0,1,0,0,0,0.5513115,,,
9/26/2008,5.45085,5.442471911,6,0.54915,5,0,2,0,0,0,0,,,
9/29/2008,5.36504,5.286282345,6,0.63496,1,0.05,3,0.268252,0.05,0,0,,,
9/30/2008,5.5156,5.523947576,6,0.4844,2,0.7,4,4.129172,0.75,0,0,,,
10/1/2008,5.49707,5.453713695,6,0.50293,3,0.25,5,5.5034395,1,5.5034395,0,,,
10/2/2008,5.45694,5.3871561,5.84,0.38306,4,0,1,0,0,0,0.4965605,,,
10/3/2008,5.4475,5.326754926,5.84,0.3925,5,0,2,0,0,0,0,,,
10/6/2008,5.21162,5.064446308,5.84,0.62838,1,0.05,3,0.260581,0.05,0,0,,,
10/7/2008,5.26288,5.20642763,5.84,0.57712,2,0.7,4,3.944597,0.75,0,0,,,
10/8/2008,5.45232,5.30079386,5.84,0.38768,3,0.25,5,5.307677,1,5.307677,0,,,
10/9/2008,5.66674,5.586532714,6.36,0.69326,4,0,1,0,0,0,0.532323,,,
10/10/2008,5.84477,5.751307286,6.36,0.51523,5,0,2,0,0,0,0,,,
10/14/2008,6.01234,5.8454256,6.36,0.34766,2,0.7,3,4.208638,0.7,0,0,,,
10/15/2008,5.90519,5.658576315,6.36,0.45481,3,0.25,4,5.6849355,0.95,5.984142632,0,,,
10/16/2008,5.84358,5.592656358,5.94,0.09642,4,0,1,0,0,0,0.375857368,,,
10/17/2008,5.82867,5.506232233,5.94,0.11133,5,0,2,0,0,0,0,,,
10/20/2008,5.50881,5.333912254,5.94,0.43119,1,0.05,3,0.2754405,0.05,0,0,,,
10/21/2008,5.3554,5.108053005,5.94,0.5846,2,0.7,4,4.0242205,0.75,0,0,,,
10/22/2008,5.37637,5.079603599,5.94,0.56363,3,0.25,5,5.368313,1,5.368313,0,,,
10/23/2008,5.41055,5.158337802,6.385,0.97445,4,0,1,0,0,0,0.571687,,,
10/24/2008,5.67504,5.322224639,6.385,0.70996,5,0,2,0,0,0,0,,,
10/27/2008,5.91991,5.359432554,6.385,0.46509,1,0.05,3,0.2959955,0.05,0,0,,,
10/28/2008,6.04844,5.421921138,6.385,0.33656,2,0.7,4,4.5299035,0.75,0,0,,,
10/29/2008,6.01414,5.383744725,6.385,0.37086,3,0.25,5,6.0334385,1,6.0334385,0,,,
10/30/2008,6.024,5.385951105,6.125,0.101,4,0,1,0,0,0,0.3515615,,,
10/31/2008,5.98811,5.416026499,6.125,0.13689,5,0,2,0,0,0,0,,,
11/3/2008,5.94965,5.374778206,6.125,0.17535,1,0.05,3,0.2974825,0.05,0,0,,,
11/4/2008,5.59651,5.195166766,6.125,0.52849,2,0.7,4,4.2150395,0.75,0,0,,,
11/5/2008,5.44883,5.111842559,6.125,0.67617,3,0.25,5,5.577247,1,5.577247,0,,,
11/6/2008,5.48354,5.147194346,6.065,0.58146,4,0,1,0,0,0,0.547753,,,
11/7/2008,5.48216,5.225880004,6.065,0.58284,5,0,2,0,0,0,0,,,
11/10/2008,5.57721,5.196780032,6.065,0.48779,1,0.05,3,0.2788605,0.05,0,0,,,
11/12/2008,5.42963,5.06601868,6.065,0.63537,3,0.25,4,1.636268,0.3,5.454226667,0,,,
11/13/2008,5.55392,5.209262632,5.965,0.41108,4,0,1,0,0,0,0.610773333,,,
11/14/2008,5.49487,5.257780953,5.965,0.47013,5,0,2,0,0,0,0,,,
11/17/2008,5.54453,5.243834255,5.965,0.42047,1,0.05,3,0.2772265,0.05,0,0,,,
11/18/2008,5.4702,5.166792792,5.965,0.4948,2,0.7,4,4.1063665,0.75,5.475155333,0,,,
11/19/2008,5.45948,5.111101442,5.895,0.43552,3,0.25,1,1.36487,0.25,0,0.489844667,,,
11/20/2008,5.40782,4.920089544,5.895,0.48718,4,0,2,1.36487,0.25,0,0,,,
11/21/2008,5.35168,4.943164221,5.895,0.54332,5,0,3,1.36487,0.25,0,0,,,
11/24/2008,5.34056,4.916867694,5.895,0.55444,1,0.05,4,1.631898,0.3,0,0,,,
11/25/2008,4.75014,4.650671626,5.895,1.14486,2,0.7,5,4.956996,1,0,0,,,
11/26/2008,4.76604,4.611188271,5.895,1.12896,3,0.25,6,1.19151,0.25,4.76604,0,,,
11/28/2008,4.82937,4.584316236,5.455,0.62563,5,0,1,0,0,0,1.12896,,,
12/1/2008,4.6019,4.362564683,5.455,0.8531,1,0.05,2,0.230095,0.05,0,0,,,
12/2/2008,4.65028,4.259032372,5.455,0.80472,2,0.7,3,3.485291,0.75,0,0,,,
12/3/2008,4.56259,4.24163128,5.455,0.89241,3,0.25,4,4.6259385,1,4.6259385,0,,,
12/4/2008,4.48864,4.243873954,5.395,0.90636,4,0,1,0,0,0,0.8290615,,,
12/5/2008,4.72506,4.330698431,5.395,0.66994,5,0,2,0,0,0,0,,,
12/8/2008,4.70612,4.354801657,5.395,0.68888,1,0.05,3,0.235306,0.05,0,0,,,
12/9/2008,4.52121,4.334572615,5.395,0.87379,2,0.7,4,3.400153,0.75,0,0,,,
12/10/2008,4.35737,4.302471893,5.395,1.03763,3,0.25,5,4.4894955,1,4.4894955,0,,,
12/11/2008,4.11336,4.281122467,5.115,1.00164,4,0,1,0,0,0,0.9055045,,,
12/12/2008,4.10814,4.271506154,5.115,1.00686,5,0,2,0,0,0,0,,,
12/15/2008,4.1355,4.103525487,5.115,0.9795,1,0.05,3,0.206775,0.05,0,0,,,
12/16/2008,3.98071,3.719659358,5.115,1.13429,2,0.7,4,2.993272,0.75,3.991029333,0,,,
12/17/2008,3.79209,3.495196078,5.09,1.29791,3,0.25,1,0.9480225,0.25,0,1.123970667,,,
12/18/2008,3.77292,3.441989101,5.09,1.31708,4,0,2,0.9480225,0.25,0,0,,,
12/19/2008,3.79982,3.516394415,5.09,1.29018,5,0,3,0.9480225,0.25,0,0,,,
12/22/2008,4.03628,3.580855114,5.09,1.05372,1,0.05,4,1.1498365,0.3,0,0,,,
12/23/2008,4.10336,3.624140518,5.09,0.98664,2,0.7,5,4.0221885,1,0,0,,,
12/24/2008,4.00553,3.669298398,5.09,1.08447,3,0.25,6,1.0013825,0.25,4.00553,0,,,
12/26/2008,3.87289,3.639282436,5.025,1.15211,5,0,1,0,0,0,1.08447,,,
12/29/2008,3.75228,3.608239929,5.025,1.27272,1,0.05,2,0.187614,0.05,0,0,,,
12/30/2008,3.89246,3.582810832,5.025,1.13254,2,0.7,3,2.912336,0.75,0,0,,,
12/31/2008,4.00708,3.656932817,5.025,1.01792,3,0.25,4,3.914106,1,3.914106,0,,,
1/2/2009,3.63296,3.843481805,4.91,1.27704,5,0,1,0,0,0,1.110894,,,
1/5/2009,4.06922,3.849199693,4.91,0.84078,1,0.05,2,0.203461,0.05,0,0,,,
1/6/2009,3.60517,3.747954315,4.91,1.30483,2,0.7,3,2.72708,0.75,0,0,,,
1/7/2009,3.60119,3.628848676,4.91,1.30881,3,0.25,4,3.6273775,1,3.6273775,0,,,
1/8/2009,3.72187,3.510714077,4.885,1.16313,4,0,1,0,0,0,1.2826225,,,
1/9/2009,3.81249,3.405226718,4.885,1.07251,5,0,2,0,0,0,0,,,
1/12/2009,3.79585,3.327127122,4.885,1.08915,1,0.05,3,0.1897925,0.05,0,0,,,
1/13/2009,3.75991,3.299474668,4.885,1.12509,2,0.7,4,2.8217295,0.75,0,0,,,
1/14/2009,3.75495,3.260078763,4.885,1.13005,3,0.25,5,3.760467,1,3.760467,0,,,
1/15/2009,3.80857,3.353478092,5.045,1.23643,4,0,1,0,0,0,1.124533,,,
1/16/2009,3.91302,3.377648063,5.045,1.13198,5,0,2,0,0,0,0,,,
1/20/2009,3.92854,3.428837522,5.045,1.11646,2,0.7,3,2.749978,0.7,0,0,,,
1/21/2009,4.08436,3.604566375,5.045,0.96064,3,0.25,4,3.771068,0.95,3.969545263,0,,,
1/22/2009,4.05342,3.677346483,5.025,0.97158,4,0,1,0,0,0,1.075454737,,,
1/23/2009,4.00493,3.750902233,5.025,1.02007,5,0,2,0,0,0,0,,,
1/26/2009,4.02083,3.83925954,5.025,1.00417,1,0.05,3,0.2010415,0.05,0,0,,,
1/27/2009,3.91328,3.747240223,5.025,1.11172,2,0.7,4,2.9403375,0.75,0,0,,,
1/28/2009,4.00898,3.8463891,5.025,1.01602,3,0.25,5,3.9425825,1,3.9425825,0,,,
1/29/2009,4.29591,3.999997902,5.2,0.90409,4,0,1,0,0,0,1.0824175,,,
1/30/2009,4.29037,4.076205615,5.2,0.90963,5,0,2,0,0,0,0,,,
2/2/2009,4.15784,4.025615209,5.2,1.04216,1,0.05,3,0.207892,0.05,0,0,,,
2/3/2009,4.28905,4.11630745,5.2,0.91095,2,0.7,4,3.210227,0.75,0,0,,,
2/4/2009,4.34958,4.241551959,5.2,0.85042,3,0.25,5,4.297622,1,4.297622,0,,,
2/5/2009,4.31812,4.222702132,5.085,0.76688,4,0,1,0,0,0,0.902378,,,
2/6/2009,4.36683,4.289519512,5.085,0.71817,5,0,2,0,0,0,0,,,
2/9/2009,4.34913,4.305255128,5.085,0.73587,1,0.05,3,0.2174565,0.05,0,0,,,
2/10/2009,4.16012,4.198003024,5.085,0.92488,2,0.7,4,3.1295405,0.75,0,0,,,
2/11/2009,4.0733,4.018719584,5.085,1.0117,3,0.25,5,4.1478655,1,4.1478655,0,,,
2/12/2009,4.05528,3.963622011,4.965,0.90972,4,0,1,0,0,0,0.9371345,,,
2/13/2009,4.24557,4.159703364,4.965,0.71943,5,0,2,0,0,0,0,,,
2/17/2009,4.09683,4.017452089,4.965,0.86817,2,0.7,3,2.867781,0.7,0,0,,,
2/18/2009,4.11982,4.060579147,4.965,0.84518,3,0.25,4,3.897736,0.95,4.10288,0,,,
2/19/2009,4.24084,4.149673521,4.995,0.75416,4,0,1,0,0,0,0.86212,,,
2/20/2009,4.19569,4.091908973,4.995,0.79931,5,0,2,0,0,0,0,,,
2/23/2009,4.2296,4.071518917,4.995,0.7654,1,0.05,3,0.21148,0.05,0,0,,,
2/24/2009,4.28183,4.115225362,4.995,0.71317,2,0.7,4,3.208761,0.75,0,0,,,
2/25/2009,4.40221,4.344775153,4.995,0.59279,3,0.25,5,4.3093135,1,4.3093135,0,,,
2/26/2009,4.4149,4.339521234,5.075,0.6601,4,0,1,0,0,0,0.6856865,,,
2/27/2009,4.45539,4.420253269,5.075,0.61961,5,0,2,0,0,0,0,,,
3/2/2009,4.39784,4.315181148,5.075,0.67716,1,0.05,3,0.219892,0.05,0,0,,,
3/3/2009,4.35917,4.341374539,5.075,0.71583,2,0.7,4,3.271311,0.75,0,0,,,
3/4/2009,4.38778,4.409744796,5.075,0.68722,3,0.25,5,4.368256,1,4.368256,0,,,
3/5/2009,4.22296,4.225098577,4.955,0.73204,4,0,1,0,0,0,0.706744,,,
3/6/2009,4.21441,4.215791217,4.955,0.74059,5,0,2,0,0,0,0,,,
3/9/2009,4.26007,4.279963403,4.955,0.69493,1,0.05,3,0.2130035,0.05,0,0,,,
3/10/2009,4.2873,4.31614574,4.955,0.6677,2,0.7,4,3.2141135,0.75,0,0,,,
3/11/2009,4.22952,4.217356514,4.955,0.72548,3,0.25,5,4.2714935,1,4.2714935,0,,,
3/12/2009,4.17572,4.160600067,4.905,0.72928,4,0,1,0,0,0,0.6835065,,,
3/13/2009,4.17876,4.146847309,4.905,0.72624,5,0,2,0,0,0,0,,,
3/16/2009,4.20653,4.17587658,4.905,0.69847,1,0.05,3,0.2103265,0.05,0,0,,,
3/17/2009,4.20916,4.191634596,4.905,0.69584,2,0.7,4,3.1567385,0.75,0,0,,,
3/18/2009,3.87716,3.81562809,4.905,1.02784,3,0.25,5,4.1260285,1,4.1260285,0,,,
3/19/2009,3.83377,3.676225817,4.775,0.94123,4,0,1,0,0,0,0.7789715,,,
3/20/2009,3.89692,3.737594534,4.775,0.87808,5,0,2,0,0,0,0,,,
3/23/2009,3.92894,3.696276373,4.775,0.84606,1,0.05,3,0.196447,0.05,0,0,,,
3/24/2009,3.93485,3.643749836,4.775,0.84015,2,0.7,4,2.950842,0.75,0,0,,,
3/25/2009,3.96227,3.744072933,4.775,0.81273,3,0.25,5,3.9414095,1,3.9414095,0,,,
3/26/2009,3.93591,3.691131281,4.705,0.76909,4,0,1,0,0,0,0.8335905,,,
3/27/2009,3.91313,3.700546864,4.705,0.79187,5,0,2,0,0,0,0,,,
3/30/2009,3.88421,3.678363385,4.705,0.82079,1,0.05,3,0.1942105,0.05,0,0,,,
3/31/2009,3.8956,3.678499314,4.705,0.8094,2,0.7,4,2.9211305,0.75,0,0,,,
4/1/2009,3.90441,3.659971216,4.705,0.80059,3,0.25,5,3.897233,1,3.897233,0,,,
4/2/2009,3.98127,3.732886038,4.795,0.81373,4,0,1,0,0,0,0.807767,,,
4/3/2009,4.07413,3.902222419,4.795,0.72087,5,0,2,0,0,0,0,,,
4/6/2009,4.06849,3.990897811,4.795,0.72651,1,0.05,3,0.2034245,0.05,0,0,,,
4/7/2009,4.0099,3.934241948,4.795,0.7851,2,0.7,4,3.0103545,0.75,0,0,,,
4/8/2009,3.93131,3.870207986,4.795,0.86369,3,0.25,5,3.993182,1,3.993182,0,,,
4/9/2009,4.01888,3.915183801,4.72,0.70112,4,0,1,0,0,0,0.801818,,,
4/13/2009,3.98164,3.834268262,4.72,0.73836,1,0.05,2,0.199082,0.05,0,0,,,
4/14/2009,3.95807,3.749778003,4.72,0.76193,2,0.7,3,2.969731,0.75,0,0,,,
4/15/2009,3.93676,3.719064897,4.72,0.78324,3,0.25,4,3.953921,1,3.953921,0,,,
4/16/2009,3.97094,3.802505915,4.725,0.75406,4,0,1,0,0,0,0.766079,,,
4/17/2009,4.03458,3.965001152,4.725,0.69042,5,0,2,0,0,0,0,,,
4/20/2009,3.99622,3.889742997,4.725,0.72878,1,0.05,3,0.199811,0.05,0,0,,,
4/21/2009,3.99604,3.931249604,4.725,0.72896,2,0.7,4,2.997039,0.75,0,0,,,
4/22/2009,4.02445,3.989317534,4.725,0.70055,3,0.25,5,4.0031515,1,4.0031515,0,,,
4/23/2009,3.99401,3.947293644,4.705,0.71099,4,0,1,0,0,0,0.7218485,,,
4/24/2009,3.99335,4.0474702,4.705,0.71165,5,0,2,0,0,0,0,,,
4/27/2009,3.83804,3.946190978,4.705,0.86696,1,0.05,3,0.191902,0.05,0,0,,,
4/28/2009,3.90251,3.962279363,4.705,0.80249,2,0.7,4,2.923659,0.75,0,0,,,
4/29/2009,3.9857,4.027446636,4.705,0.7193,3,0.25,5,3.920084,1,3.920084,0,,,
4/30/2009,4.0141,4.05954429,4.765,0.7509,4,0,1,0,0,0,0.784916,,,
5/1/2009,4.08589,4.156768193,4.765,0.67911,5,0,2,0,0,0,0,,,
5/4/2009,4.03828,4.160731116,4.765,0.72672,1,0.05,3,0.201914,0.05,0,0,,,
5/5/2009,3.98397,4.140028091,4.765,0.78103,2,0.7,4,2.990693,0.75,0,0,,,
5/6/2009,3.96813,4.104771931,4.765,0.79687,3,0.25,5,3.9827255,1,3.9827255,0,,,
5/7/2009,4.08542,4.223192631,4.76,0.67458,4,0,1,0,0,0,0.7822745,,,
5/8/2009,4.12926,4.211146596,4.76,0.63074,5,0,2,0,0,0,0,,,
5/11/2009,3.99949,4.087631177,4.76,0.76051,1,0.05,3,0.1999745,0.05,0,0,,,
