"","grp","x","actual.smm","model.smm","ratio","track.err","curt.smm","dflt.smm","cout.smm","turn.smm","refi.smm","pct_inv","pct_2nd","pct_owner","pct_purchase","pct_REFI_NCO","pct_REFI_CO","pct_REFI_Other","pct_REFI","pct_dq","incentive","burnout","refi_elig_pct","cltv","wacls","acls","wala","wam","wac","fico","pct_HARPed","pct_tpo","cai","hpa2yr","media_effect","sato","refi_cai_mult","refi_hpa2yr_mult","refi_wala_mult","refi_lomedia_incentive_mult","refi_himedia_incentive_mult","refi_cltv_mult","refi_wacls_mult","refi_fico_mult","refi_refi_elig_pct_mult","refi_pct_2nd_mult","refi_pct_tpo_mult","refi_media_effect_mult","refi_burnout_mult","refi_pct_inv_mult","refi_pct_dq_mult","refi_pct_HARPed_mult","refi_HARP_eligible_mult","bal","std","n"
"1",85,-25,0.0360001117255864,0.667935834278996,0.0538975600320152,0.63193572255341,0.0415884385627592,0.0225522663422819,0.0172391942393778,0.561692917502062,0.024863017632516,0,10.5669664824268,89.4330335175732,53.5996370250757,33.1252180018488,13.2751449730754,0,46.4003629749243,0.736078739988416,-25,230.569096689716,100,67.4312851443508,70.786664227366,70.6971675715314,22.2291478420896,325.761731356076,3.93969190561655,745.432963967583,17.4676031113912,20.6955913139871,130.361201232596,110.000167373283,43.3410300058124,-4.71243384179221,0.526662661583907,1,1.08,0.0692422718690893,0.0495055819409505,1,0.619668180040644,1,1,1,0.981391182627974,0.159692887419962,0.989267350259409,1,1,0.991090711288105,0.96,7787204.6,0.000868292597259991,103
"2",85,0,0.787900791728442,0.679664961712688,1.15924880067822,-0.108235830015754,0.0458143921500957,0.0140728058672216,0.0212131416119599,0.557028938873016,0.0415356832103948,0,7.70385892420356,92.2961410757964,39.253384328405,42.2925785712335,18.4539071688451,0.000129931516370888,60.746615671595,0.535368808327345,-11.9801605890753,342.117173976721,99.9311060831071,52.5786482292259,69.0085466032286,67.8198894101915,23.6527759014232,316.798525088761,3.93404659057641,757.262413991444,21.2798304597244,27.3031418367256,132.803980715361,110.33705011534,43.2337506233965,-6.06198652494798,0.52849918115865,1,1.08,0.110558674867514,0.108061415526579,1,0.610888356278338,1,0.99931106083107,1,0.994606283673451,0.158825097124753,0.98371486600447,1,1,0.980416474712772,0.96,65417076914.1,0.0768448515403433,85825
"3",85,25,0.820524150392447,0.723293549202508,1.13442757964196,-0.0972306011899388,0.0453746205765207,0.0161471748651615,0.0273025365941408,0.555650227033661,0.0788189901330236,0,7.57424933232989,92.4257506676701,38.8917333789537,41.9281797963321,19.1798619752713,0.000224849442979283,61.1082666210463,0.626957757958666,12.6492095765328,586.242339487275,99.9140113836256,53.0369997382293,68.582465797657,67.3956024320685,23.5526072420024,317.643006155122,4.18234144073461,753.663581418309,23.7120474414302,26.5677543914889,134.608988999967,109.165925855518,45.1979661713526,1.931219845083,0.530781445847531,1,1.08,0.195125871275426,0.293771219674495,1,0.608541568431029,1,0.999140113836256,1,0.993135508782978,0.188863595714263,0.970610150700947,1,1,0.973606267163995,0.96,75127559918.2,0.0779765600092804,112103
"4",85,50,0.876056965827082,0.782259436486733,1.11990590968338,-0.0937975293403487,0.0446934983208447,0.0177521721170582,0.0307225613024691,0.546317967798144,0.142773236948217,0,7.56908317901889,92.4309168209811,39.0498041891567,40.18324544452,20.7661333580758,0.000817008247501078,60.9501958108433,0.682800709800013,37.5947752800493,852.856716100911,99.9034694198191,53.8476300992984,68.3514331204777,67.170964857299,22.6644966194764,319.589488193423,4.40854430795449,751.166917164562,23.2197644780961,27.7924805556114,131.634787052835,107.63123704847,50.435422789589,6.88338100080869,0.52849031461904,1,1.08,0.288491578129538,0.680274348657626,1,0.607222880017878,1,0.99903469419819,1,0.995584961111223,0.261184816621375,0.952108220972146,1,1,0.974984659461331,0.96,82558383230.9,0.0812845791019268,132171
"5",85,75,0.955961060383548,0.909129702528325,1.05151229546783,-0.046831357855223,0.0440188997038796,0.0193240155983237,0.0313162472245886,0.538028829791676,0.276441710209857,0,7.55466098423112,92.4453390157689,38.4138022798398,39.3574878924265,22.2287098277338,0,61.5861977201602,0.713678835511763,62.2054225136183,1078.33429488264,99.8839443796383,54.5998671347876,68.2549978193137,67.0766408347962,21.998095780413,321.158877490396,4.60011250722966,749.844596436522,22.8495884221301,28.2989402037212,126.959548568482,106.401506777608,57.1309799319162,11.0088566273822,0.524197596366652,1,1.08,0.475787647199949,1.31760735613373,1,0.606669524417842,1,0.998839443796383,1,0.996597880407442,0.350792073911988,0.932218588253504,1,1,0.976021152418036,0.96,81440578954.4,0.0836719721468373,130974
"6",85,100,1.10446864849402,1.17311636998457,0.941482598617687,0.0686477214905484,0.0445269776051329,0.02077920497639,0.0278835160384099,0.52967300524141,0.550253666123226,0,7.34971053228968,92.6502894677103,35.8923799351449,40.5391408871817,23.5684791776734,0,64.1076200648551,0.72357136291124,87.1727731053909,1204.41163341386,99.8935486323168,54.3353044383429,68.127811941269,66.9468991800057,22.3173342456112,319.922764155114,4.72436898053489,750.777293410766,22.8387424126845,29.4509484683119,121.953005347192,104.976292867861,66.4998495040784,12.9703164355281,0.520149155507272,1,1.08,0.881750179934573,2.2699256444749,1,0.605825240139391,1,0.998935486323168,1,0.998901896936624,0.489215161477145,0.925069385223769,1,1,0.976051521244483,0.96,76549492136.9,0.0881583222464836,122504
"7",85,125,1.25865744237221,1.45969184298744,0.862276136171462,0.20103440061523,0.0450398145540926,0.0231112916959828,0.0236902226558933,0.532236313361592,0.83561420071988,0,7.14742013092402,92.852579869076,32.9632335046369,42.7059290769498,24.3308374184134,0,67.0367664953632,0.750206850669256,111.594006049062,1443.42095154555,99.8989405190354,53.8637953695608,67.8821970584912,66.6950760170293,23.2338667167943,318.426973158518,4.87320644558236,751.419968933344,25.153471348087,29.0017081798644,116.321702752477,103.802190102545,74.621959657664,17.3311735943916,0.51608136426814,1,1.08,1.27604587034105,3.21815957783773,1,0.604249922345819,1,0.998989405190354,1,0.998003416359729,0.617101528008745,0.912087764239401,1,1,0.969570280225356,0.96,60727314976.5,0.0898847372245109,96369
"8",85,150,1.40996343610969,1.65346068526607,0.852734781464007,0.24349724915638,0.046012334998725,0.0286630967083667,0.0180845803804171,0.52979996555614,1.03090070762243,0,7.38784975397344,92.6121502460266,31.4003711370031,44.0249396416696,24.5746892213272,0,68.5996288629969,0.837827638759999,136.706484396733,1785.02791872309,99.8930372620237,53.497456907344,67.5082829568295,66.3001939386543,24.3884299913132,315.931026381272,5.02646618747693,753.058130183115,27.6523010950392,29.5532292127848,108.986179925591,103.106692725797,81.0462690500226,22.1748851547372,0.510723037488627,1,1.08,1.46204997304824,3.91080844360412,1,0.601947735497503,1,0.998930372620237,1,0.99910645842557,0.724488863019114,0.887157714222312,1,1,0.96257355693389,0.96,46868272507,0.092686010248102,67909
"9",85,175,1.58943562073529,1.72226246458999,0.922876537934468,0.132826843854696,0.0473168412254944,0.034892676523395,0.014404852652381,0.529433753689717,1.096214340499,0,7.30364827914951,92.6963517208505,28.8223295139177,47.0748960744264,24.102774411656,0,71.1776704860823,0.930133829340959,161.00514225343,2236.99355263489,99.8988296496279,53.037825450379,66.580635884453,65.376895929344,26.1393920035156,313.181987504227,5.19006334727423,753.29956741289,31.7402912610343,27.0873334179069,104.299603968755,102.971304830683,85.03745182588,29.9526727905301,0.50724268268275,1,1.08,1.54073172677684,4.38871234215989,1,0.596440431355774,1,0.998988296496279,1,0.994174666835814,0.787911647873282,0.838867706417468,1,1,0.951127184469104,0.96,27888834154.5,0.0947646332992215,45401
"10",85,200,1.64116779142909,1.6844742095074,0.974290839340915,0.0433064180783115,0.0476823343233257,0.044199087681198,0.0116731004669337,0.531909669331927,1.04901001770401,0,7.54825158519099,92.451748414809,25.1919589585833,49.8745862540854,24.9334547873313,0,74.8080410414167,1.12733829618585,185.546402829418,2864.47689528955,99.8969762241343,52.134760183735,65.358129924073,64.164635420385,27.5798678303195,311.04055013369,5.351806750021,753.757941076297,35.6659022914582,25.247807101624,102.086866621094,103.528210369558,87.0265905607513,40.9961252843057,0.505673767298434,1,1.08,1.57733223259268,4.73241480060419,1,0.589228335847687,1,0.998969762241343,1,0.990495614203248,0.819971646040504,0.7559933392512,1,1,0.940135473583917,0.96,14353211060.5,0.0928661510543608,28300
